FechaHora;Total
2022-01-07 11:00:00;3526.67
2022-01-07 12:00:00;3590.67
2022-01-07 13:00:00;3524.11
2022-01-07 14:00:00;3550.57
2022-01-07 15:00:00;3554.73
2022-01-07 16:00:00;3525.84
2022-01-07 17:00:00;3460.09
2022-01-07 18:00:00;3415.14
2022-01-07 19:00:00;3856.28
2022-01-07 20:00:00;3886.45
2022-01-07 21:00:00;3765.46
2022-01-07 22:00:00;3553.29
2022-01-07 23:00:00;3339.09
2022-01-08 00:00:00;3158.47
2022-01-08 01:00:00;2968.56
2022-01-08 02:00:00;2827.26
2022-01-08 03:00:00;2776.17
2022-01-08 04:00:00;2686.4
2022-01-08 05:00:00;2716.64
2022-01-08 06:00:00;2702.12
2022-01-08 07:00:00;2490.48
2022-01-08 08:00:00;2705.29
2022-01-08 09:00:00;2980.27
2022-01-08 10:00:00;3217.23
2022-01-08 11:00:00;3358.8
2022-01-08 12:00:00;3431.24
2022-01-08 13:00:00;3491.62
2022-01-08 14:00:00;3447.42
2022-01-08 15:00:00;3396.56
2022-01-08 16:00:00;3335.93
2022-01-08 17:00:00;3291.69
2022-01-08 18:00:00;3280.23
2022-01-08 19:00:00;3807.87
2022-01-08 20:00:00;3831.71
2022-01-08 21:00:00;3702.72
2022-01-08 22:00:00;3537.06
2022-01-08 23:00:00;3307.64
2022-01-09 00:00:00;3064.05
2022-01-09 01:00:00;2892.35
2022-01-09 02:00:00;2826.62
2022-01-09 03:00:00;2725.1
2022-01-09 04:00:00;2674.99
2022-01-09 05:00:00;2622.59
2022-01-09 06:00:00;2632.07
2022-01-09 07:00:00;2341.82
2022-01-09 08:00:00;2523.65
2022-01-09 09:00:00;2668.69
2022-01-09 10:00:00;2866.68
2022-01-09 11:00:00;2991.1
2022-01-09 12:00:00;3129.9
2022-01-09 13:00:00;3111.7
2022-01-09 14:00:00;3130.99
2022-01-09 15:00:00;3087.96
2022-01-09 16:00:00;3145.69
2022-01-09 17:00:00;3105.65
2022-01-09 18:00:00;3130.2
2022-01-09 19:00:00;3698.64
2022-01-09 20:00:00;3714.28
2022-01-09 21:00:00;3627.45
2022-01-09 22:00:00;3468.19
2022-01-09 23:00:00;3236.43
2022-01-10 00:00:00;3017.81
2022-01-10 01:00:00;2823.83
2022-01-10 02:00:00;2758.62
2022-01-10 03:00:00;2713.09
2022-01-10 04:00:00;2625.94
2022-01-10 05:00:00;2643.42
2022-01-10 06:00:00;2723.78
2022-01-10 07:00:00;2629.67
2022-01-10 08:00:00;2999.1
2022-01-10 09:00:00;3350.78
2022-01-10 10:00:00;3504.12
2022-01-10 11:00:00;3696.93
2022-01-10 12:00:00;3819.79
2022-01-10 13:00:00;3819.78
2022-01-10 14:00:00;3807.93
2022-01-10 15:00:00;3874.25
2022-01-10 16:00:00;3843.83
2022-01-10 17:00:00;3765.09
2022-01-10 18:00:00;3647.15
2022-01-10 19:00:00;4068.39
2022-01-10 20:00:00;4050.69
2022-01-10 21:00:00;3968.67
2022-01-10 22:00:00;3707.97
2022-01-10 23:00:00;3542.92
2022-01-11 00:00:00;3258.87
2022-01-11 01:00:00;2994.06
2022-01-11 02:00:00;2921.83
2022-01-11 03:00:00;2842.43
2022-01-11 04:00:00;2747.69
2022-01-11 05:00:00;2802.71
2022-01-11 06:00:00;2856.22
2022-01-11 07:00:00;2762.8
2022-01-11 08:00:00;3026.76
2022-01-11 09:00:00;3393.75
2022-01-11 10:00:00;3619.05
2022-01-11 11:00:00;3743.64
2022-01-11 12:00:00;3843.54
2022-01-11 13:00:00;3834.74
2022-01-11 14:00:00;3929.96
2022-01-11 15:00:00;3969.67
2022-01-11 16:00:00;3937.12
2022-01-11 17:00:00;3793.98
2022-01-11 18:00:00;3603.73
2022-01-11 19:00:00;4072.49
2022-01-11 20:00:00;4132.19
2022-01-11 21:00:00;3925.55
2022-01-11 22:00:00;3757.54
2022-01-11 23:00:00;3470.84
2022-01-12 00:00:00;3199.17
2022-01-12 01:00:00;3009.66
2022-01-12 02:00:00;2898.53
2022-01-12 03:00:00;2868.91
2022-01-12 04:00:00;2829.22
2022-01-12 05:00:00;2799.09
2022-01-12 06:00:00;2952.75
2022-01-12 07:00:00;2815.62
2022-01-12 08:00:00;3142.55
2022-01-12 09:00:00;3369.33
2022-01-12 10:00:00;3510.33
2022-01-12 11:00:00;3591.54
2022-01-12 12:00:00;3702.8
2022-01-12 13:00:00;3651.38
2022-01-12 14:00:00;3669.41
2022-01-12 15:00:00;3661.43
2022-01-12 16:00:00;3572.45
2022-01-12 17:00:00;3432
2022-01-12 18:00:00;3417.09
2022-01-12 19:00:00;3898.52
2022-01-12 20:00:00;3858
2022-01-12 21:00:00;3703.07
2022-01-12 22:00:00;3490.94
2022-01-12 23:00:00;3321.19
2022-01-13 00:00:00;3069.44
2022-01-13 01:00:00;2946.41
2022-01-13 02:00:00;2866.3
2022-01-13 03:00:00;2813.01
2022-01-13 04:00:00;2728.24
2022-01-13 05:00:00;2771.38
2022-01-13 06:00:00;2797.97
2022-01-13 07:00:00;2688.42
2022-01-13 08:00:00;3012.62
2022-01-13 09:00:00;3269.59
2022-01-13 10:00:00;3417.8
2022-01-13 11:00:00;3507.65
2022-01-13 12:00:00;3570.13
2022-01-13 13:00:00;3517.66
2022-01-13 14:00:00;3523.96
2022-01-13 15:00:00;3515.34
2022-01-13 16:00:00;3470.12
2022-01-13 17:00:00;3401.87
2022-01-13 18:00:00;3333
2022-01-13 19:00:00;3796.43
2022-01-13 20:00:00;3781.21
2022-01-13 21:00:00;3657.04
2022-01-13 22:00:00;3468.04
2022-01-13 23:00:00;3286.32
2022-01-14 00:00:00;3048.42
2022-01-14 01:00:00;2886.58
2022-01-14 02:00:00;2770.41
2022-01-14 03:00:00;2764.12
2022-01-14 04:00:00;2711.7
2022-01-14 05:00:00;2702.6
2022-01-14 06:00:00;2788.56
2022-01-14 07:00:00;2751.98
2022-01-14 08:00:00;2967.41
2022-01-14 09:00:00;3268.03
2022-01-14 10:00:00;3465.98
2022-01-14 11:00:00;3625.28
2022-01-14 12:00:00;3718.94
2022-01-14 13:00:00;3716.65
2022-01-14 14:00:00;3671.74
2022-01-14 15:00:00;3733.79
2022-01-14 16:00:00;3663.56
2022-01-14 17:00:00;3538.13
2022-01-14 18:00:00;3394.91
2022-01-14 19:00:00;3839.74
2022-01-14 20:00:00;3813.26
2022-01-14 21:00:00;3660.82
2022-01-14 22:00:00;3471.11
2022-01-14 23:00:00;3278.68
2022-01-15 00:00:00;3043.97
2022-01-15 01:00:00;2892
2022-01-15 02:00:00;2782.36
2022-01-15 03:00:00;2704.63
2022-01-15 04:00:00;2678.28
2022-01-15 05:00:00;2655.73
2022-01-15 06:00:00;2663.07
2022-01-15 07:00:00;2426.67
2022-01-15 08:00:00;2628.17
2022-01-15 09:00:00;2931.6
2022-01-15 10:00:00;3074.66
2022-01-15 11:00:00;3159.89
2022-01-15 12:00:00;3210.19
2022-01-15 13:00:00;3196.79
2022-01-15 14:00:00;3164.07
2022-01-15 15:00:00;3173.01
2022-01-15 16:00:00;3152.92
2022-01-15 17:00:00;3096.07
2022-01-15 18:00:00;3095.04
2022-01-15 19:00:00;3562.71
2022-01-15 20:00:00;3558.64
2022-01-15 21:00:00;3308.81
2022-01-15 22:00:00;3234.67
2022-01-15 23:00:00;3128.62
2022-01-16 00:00:00;2948.54
2022-01-16 01:00:00;2786.91
2022-01-16 02:00:00;2696.74
2022-01-16 03:00:00;2617.71
2022-01-16 04:00:00;2523.17
2022-01-16 05:00:00;2549.64
2022-01-16 06:00:00;2524.52
2022-01-16 07:00:00;2272.26
2022-01-16 08:00:00;2434.62
2022-01-16 09:00:00;2642.93
2022-01-16 10:00:00;2792.5
2022-01-16 11:00:00;2910.95
2022-01-16 12:00:00;3026.51
2022-01-16 13:00:00;3045.65
2022-01-16 14:00:00;3105.71
2022-01-16 15:00:00;3105.32
2022-01-16 16:00:00;2998.56
2022-01-16 17:00:00;3029.54
2022-01-16 18:00:00;3044.5
2022-01-16 19:00:00;3634.63
2022-01-16 20:00:00;3615.1
2022-01-16 21:00:00;3540.55
2022-01-16 22:00:00;3325.65
2022-01-16 23:00:00;3156.7
2022-01-17 00:00:00;2970.22
2022-01-17 01:00:00;2769.87
2022-01-17 02:00:00;2681.07
2022-01-17 03:00:00;2621.75
2022-01-17 04:00:00;2610.42
2022-01-17 05:00:00;2647.84
2022-01-17 06:00:00;2726.18
2022-01-17 07:00:00;2591.64
2022-01-17 08:00:00;2963.67
2022-01-17 09:00:00;3262.06
2022-01-17 10:00:00;3496.67
2022-01-17 11:00:00;3707.54
2022-01-17 12:00:00;3809.15
2022-01-17 13:00:00;3858.87
2022-01-17 14:00:00;3908.37
2022-01-17 15:00:00;3871.35
2022-01-17 16:00:00;3880.88
2022-01-17 17:00:00;3712.74
2022-01-17 18:00:00;3578.06
2022-01-17 19:00:00;4042.63
2022-01-17 20:00:00;4032.7
2022-01-17 21:00:00;3929.87
2022-01-17 22:00:00;3709.35
2022-01-17 23:00:00;3496.2
2022-01-18 00:00:00;3263.72
2022-01-18 01:00:00;3041.23
2022-01-18 02:00:00;2915.27
2022-01-18 03:00:00;2885.99
2022-01-18 04:00:00;2865.31
2022-01-18 05:00:00;2827.56
2022-01-18 06:00:00;2925.63
2022-01-18 07:00:00;2773.18
2022-01-18 08:00:00;3113.91
2022-01-18 09:00:00;3336.4
2022-01-18 10:00:00;3553.52
2022-01-18 11:00:00;3669.99
2022-01-18 12:00:00;3728.13
2022-01-18 13:00:00;3709.32
2022-01-18 14:00:00;3702.36
2022-01-18 15:00:00;3679.35
2022-01-18 16:00:00;3580.03
2022-01-18 17:00:00;3524.86
2022-01-18 18:00:00;3451.34
2022-01-18 19:00:00;3975.06
2022-01-18 20:00:00;3929.65
2022-01-18 21:00:00;3824.02
2022-01-18 22:00:00;3571.38
2022-01-18 23:00:00;3385.54
2022-01-19 00:00:00;3106.08
2022-01-19 01:00:00;2964.06
2022-01-19 02:00:00;2900.86
2022-01-19 03:00:00;2793.44
2022-01-19 04:00:00;2768.96
2022-01-19 05:00:00;2799.72
2022-01-19 06:00:00;2866.56
2022-01-19 07:00:00;2802.88
2022-01-19 08:00:00;3173.75
2022-01-19 09:00:00;3455.28
2022-01-19 10:00:00;3670.68
2022-01-19 11:00:00;3820.74
2022-01-19 12:00:00;3929.1
2022-01-19 13:00:00;3941.73
2022-01-19 14:00:00;3969.5
2022-01-19 15:00:00;3981.51
2022-01-19 16:00:00;3931.08
2022-01-19 17:00:00;3785.55
2022-01-19 18:00:00;3660.54
2022-01-19 19:00:00;4135.52
2022-01-19 20:00:00;4136.3
2022-01-19 21:00:00;3953.89
2022-01-19 22:00:00;3758.43
2022-01-19 23:00:00;3536.51
2022-01-20 00:00:00;3323.61
2022-01-20 01:00:00;3134.67
2022-01-20 02:00:00;2989.53
2022-01-20 03:00:00;2966.65
2022-01-20 04:00:00;2915.86
2022-01-20 05:00:00;2855.94
2022-01-20 06:00:00;2929.28
2022-01-20 07:00:00;2843.09
2022-01-20 08:00:00;3122.81
2022-01-20 09:00:00;3461.5
2022-01-20 10:00:00;3682.79
